name|air_time|succ_transmissions|failed_transmissions|ffp|cot|offset|simulation_run|station_version|mean_channel_access_delay
Test_3_5|7365000|15000|0|1000|491|2000|3|FixedMutingFbe|3999,8000000000002
Test_3_6|7365000|15000|0|1000|491|2500|3|FixedMutingFbe|3999,7666666666664
Test_3_7|7364509|14999|0|1000|491|3000|3|FixedMutingFbe|4000
Test_3_8|7364509|14999|0|1000|491|3500|3|FixedMutingFbe|3999,9666644442964
Test_4_1|3682500|7500|0|1000|491|0|4|FixedMutingFbe|7999,8666666666677
Test_4_2|3682500|7500|0|1000|491|500|4|FixedMutingFbe|7999,8000000000002
Test_4_3|3682500|7500|0|1000|491|1000|4|FixedMutingFbe|7999,7333333333336
Test_4_4|3682500|7500|0|1000|491|1500|4|FixedMutingFbe|7999,666666666667
Test_4_5|3682500|7500|0|1000|491|2000|4|FixedMutingFbe|7999,6000000000004
Test_4_6|3682500|7500|0|1000|491|2500|4|FixedMutingFbe|7999,5333333333338
Test_4_7|3682500|7500|0|1000|491|3000|4|FixedMutingFbe|7999,4666666666662
Test_4_8|3682500|7500|0|1000|491|3500|4|FixedMutingFbe|7999,3999999999996
Test_4_9|3682500|7500|0|1000|491|4000|4|FixedMutingFbe|7999,3333333333339
Test_4_10|3682500|7500|0|1000|491|4500|4|FixedMutingFbe|7999,2666666666673
Test_4_11|3682500|7500|0|1000|491|5000|4|FixedMutingFbe|7999,1999999999998
Test_4_12|3682500|7500|0|1000|491|5500|4|FixedMutingFbe|7999,1333333333332
Test_4_13|3682500|7500|0|1000|491|6000|4|FixedMutingFbe|7999,0666666666666
Test_4_14|3682500|7500|0|1000|491|6500|4|FixedMutingFbe|7999
Test_4_15|3682009|7499|0|1000|491|7000|4|FixedMutingFbe|8000
Test_4_16|3682009|7499|0|1000|491|7500|4|FixedMutingFbe|7999,9333244432592
Test_5_1|1841250|3750|0|1000|491|0|5|FixedMutingFbe|15999,733333333335
Test_5_2|1841250|3750|0|1000|491|500|5|FixedMutingFbe|15999,6
Test_5_3|1841250|3750|0|1000|491|1000|5|FixedMutingFbe|15999,466666666667
Test_5_4|1841250|3750|0|1000|491|1500|5|FixedMutingFbe|15999,333333333334
Test_5_5|1841250|3750|0|1000|491|2000|5|FixedMutingFbe|15999,200000000001
Test_5_6|1841250|3750|0|1000|491|2500|5|FixedMutingFbe|15999,066666666668
Test_5_7|1841250|3750|0|1000|491|3000|5|FixedMutingFbe|15998,933333333332
Test_5_8|1841250|3750|0|1000|491|3500|5|FixedMutingFbe|15998,799999999999
Test_5_9|1841250|3750|0|1000|491|4000|5|FixedMutingFbe|15998,666666666668
Test_5_10|1841250|3750|0|1000|491|4500|5|FixedMutingFbe|15998,533333333335
Test_5_11|1841250|3750|0|1000|491|5000|5|FixedMutingFbe|15998,4
Test_5_12|1841250|3750|0|1000|491|5500|5|FixedMutingFbe|15998,266666666666
Test_5_13|1841250|3750|0|1000|491|6000|5|FixedMutingFbe|15998,133333333333
Test_5_14|1841250|3750|0|1000|491|6500|5|FixedMutingFbe|15998
Test_5_15|1841250|3750|0|1000|491|7000|5|FixedMutingFbe|15997,866666666667
Test_5_16|1841250|3750|0|1000|491|7500|5|FixedMutingFbe|15997,733333333335
Test_5_17|1841250|3750|0|1000|491|8000|5|FixedMutingFbe|15997,6
Test_5_18|1841250|3750|0|1000|491|8500|5|FixedMutingFbe|15997,466666666667
Test_5_19|1841250|3750|0|1000|491|9000|5|FixedMutingFbe|15997,333333333334
Test_5_20|1841250|3750|0|1000|491|9500|5|FixedMutingFbe|15997,200000000001
Test_5_21|1841250|3750|0|1000|491|10000|5|FixedMutingFbe|15997,066666666668
Test_5_22|1841250|3750|0|1000|491|10500|5|FixedMutingFbe|15996,933333333332
Test_5_23|1841250|3750|0|1000|491|11000|5|FixedMutingFbe|15996,799999999999
Test_5_24|1841250|3750|0|1000|491|11500|5|FixedMutingFbe|15996,666666666666
Test_5_25|1841250|3750|0|1000|491|12000|5|FixedMutingFbe|15996,533333333335
Test_5_26|1841250|3750|0|1000|491|12500|5|FixedMutingFbe|15996,4
Test_5_27|1841250|3750|0|1000|491|13000|5|FixedMutingFbe|15996,266666666666
Test_5_28|1841250|3750|0|1000|491|13500|5|FixedMutingFbe|15996,133333333333
Test_5_29|1841250|3750|0|1000|491|14000|5|FixedMutingFbe|15996
Test_5_30|1841250|3750|0|1000|491|14500|5|FixedMutingFbe|15995,866666666667
Test_5_31|1840759|3749|0|1000|491|15000|5|FixedMutingFbe|16000
Test_5_32|1840759|3749|0|1000|491|15500|5|FixedMutingFbe|15999,866631101628
Test_1_1|29459509|59999|0|1000|491|0|1|FixedMutingFbe|1000
Test_1_2|29459509|59999|0|1000|491|500|1|FixedMutingFbe|999,99166652777546
Test_2_1|14730000|30000|0|1000|491|0|2|FixedMutingFbe|1999,9666666666662
Test_2_2|14730000|30000|0|1000|491|500|2|FixedMutingFbe|1999,95
Test_2_3|14729509|29999|0|1000|491|1000|2|FixedMutingFbe|2000
Test_2_4|14729509|29999|0|1000|491|1500|2|FixedMutingFbe|1999,983332777759
Test_3_1|7365000|15000|0|1000|491|0|3|FixedMutingFbe|3999,9333333333325
Test_3_2|7365000|15000|0|1000|491|500|3|FixedMutingFbe|3999,9000000000001
Test_3_3|7365000|15000|0|1000|491|1000|3|FixedMutingFbe|3999,8666666666668
Test_3_4|7365000|15000|0|1000|491|1500|3|FixedMutingFbe|3999,833333333333
Test_3_5|7365000|15000|0|1000|491|2000|3|FixedMutingFbe|3999,8000000000002
Test_3_6|7365000|15000|0|1000|491|2500|3|FixedMutingFbe|3999,7666666666664
Test_3_7|7364509|14999|0|1000|491|3000|3|FixedMutingFbe|4000
Test_3_8|7364509|14999|0|1000|491|3500|3|FixedMutingFbe|3999,9666644442964
Test_4_1|3682500|7500|0|1000|491|0|4|FixedMutingFbe|7999,8666666666677
Test_4_2|3682500|7500|0|1000|491|500|4|FixedMutingFbe|7999,8000000000002
Test_4_3|3682500|7500|0|1000|491|1000|4|FixedMutingFbe|7999,7333333333336
Test_4_4|3682500|7500|0|1000|491|1500|4|FixedMutingFbe|7999,666666666667
Test_4_5|3682500|7500|0|1000|491|2000|4|FixedMutingFbe|7999,6000000000004
Test_4_6|3682500|7500|0|1000|491|2500|4|FixedMutingFbe|7999,5333333333338
Test_4_7|3682500|7500|0|1000|491|3000|4|FixedMutingFbe|7999,4666666666662
Test_4_8|3682500|7500|0|1000|491|3500|4|FixedMutingFbe|7999,3999999999996
Test_4_9|3682500|7500|0|1000|491|4000|4|FixedMutingFbe|7999,3333333333339
Test_4_10|3682500|7500|0|1000|491|4500|4|FixedMutingFbe|7999,2666666666673
Test_4_11|3682500|7500|0|1000|491|5000|4|FixedMutingFbe|7999,1999999999998
Test_4_12|3682500|7500|0|1000|491|5500|4|FixedMutingFbe|7999,1333333333332
Test_4_13|3682500|7500|0|1000|491|6000|4|FixedMutingFbe|7999,0666666666666
Test_4_14|3682500|7500|0|1000|491|6500|4|FixedMutingFbe|7999
Test_4_15|3682009|7499|0|1000|491|7000|4|FixedMutingFbe|8000
Test_4_16|3682009|7499|0|1000|491|7500|4|FixedMutingFbe|7999,9333244432592
Test_5_1|1841250|3750|0|1000|491|0|5|FixedMutingFbe|15999,733333333335
Test_5_2|1841250|3750|0|1000|491|500|5|FixedMutingFbe|15999,6
Test_5_3|1841250|3750|0|1000|491|1000|5|FixedMutingFbe|15999,466666666667
Test_5_4|1841250|3750|0|1000|491|1500|5|FixedMutingFbe|15999,333333333334
Test_5_5|1841250|3750|0|1000|491|2000|5|FixedMutingFbe|15999,200000000001
Test_5_6|1841250|3750|0|1000|491|2500|5|FixedMutingFbe|15999,066666666668
Test_5_7|1841250|3750|0|1000|491|3000|5|FixedMutingFbe|15998,933333333332
Test_5_8|1841250|3750|0|1000|491|3500|5|FixedMutingFbe|15998,799999999999
Test_5_9|1841250|3750|0|1000|491|4000|5|FixedMutingFbe|15998,666666666668
Test_5_10|1841250|3750|0|1000|491|4500|5|FixedMutingFbe|15998,533333333335
Test_5_11|1841250|3750|0|1000|491|5000|5|FixedMutingFbe|15998,4
Test_5_12|1841250|3750|0|1000|491|5500|5|FixedMutingFbe|15998,266666666666
Test_5_13|1841250|3750|0|1000|491|6000|5|FixedMutingFbe|15998,133333333333
Test_5_14|1841250|3750|0|1000|491|6500|5|FixedMutingFbe|15998
Test_5_15|1841250|3750|0|1000|491|7000|5|FixedMutingFbe|15997,866666666667
Test_5_16|1841250|3750|0|1000|491|7500|5|FixedMutingFbe|15997,733333333335
Test_5_17|1841250|3750|0|1000|491|8000|5|FixedMutingFbe|15997,6
Test_5_18|1841250|3750|0|1000|491|8500|5|FixedMutingFbe|15997,466666666667
Test_5_19|1841250|3750|0|1000|491|9000|5|FixedMutingFbe|15997,333333333334
Test_5_20|1841250|3750|0|1000|491|9500|5|FixedMutingFbe|15997,200000000001
Test_5_21|1841250|3750|0|1000|491|10000|5|FixedMutingFbe|15997,066666666668
Test_5_22|1841250|3750|0|1000|491|10500|5|FixedMutingFbe|15996,933333333332
Test_5_23|1841250|3750|0|1000|491|11000|5|FixedMutingFbe|15996,799999999999
Test_5_24|1841250|3750|0|1000|491|11500|5|FixedMutingFbe|15996,666666666666
Test_5_25|1841250|3750|0|1000|491|12000|5|FixedMutingFbe|15996,533333333335
Test_5_26|1841250|3750|0|1000|491|12500|5|FixedMutingFbe|15996,4
Test_5_27|1841250|3750|0|1000|491|13000|5|FixedMutingFbe|15996,266666666666
Test_5_28|1841250|3750|0|1000|491|13500|5|FixedMutingFbe|15996,133333333333
Test_5_29|1841250|3750|0|1000|491|14000|5|FixedMutingFbe|15996
Test_5_30|1841250|3750|0|1000|491|14500|5|FixedMutingFbe|15995,866666666667
Test_5_31|1840759|3749|0|1000|491|15000|5|FixedMutingFbe|16000
Test_5_32|1840759|3749|0|1000|491|15500|5|FixedMutingFbe|15999,866631101628
Test_1_1|29459509|59999|0|1000|491|0|1|FixedMutingFbe|1000
Test_1_2|29459509|59999|0|1000|491|500|1|FixedMutingFbe|999,99166652777546
Test_2_1|14730000|30000|0|1000|491|0|2|FixedMutingFbe|1999,9666666666662
Test_2_2|14730000|30000|0|1000|491|500|2|FixedMutingFbe|1999,95
Test_2_3|14729509|29999|0|1000|491|1000|2|FixedMutingFbe|2000
Test_2_4|14729509|29999|0|1000|491|1500|2|FixedMutingFbe|1999,983332777759
Test_3_1|7365000|15000|0|1000|491|0|3|FixedMutingFbe|3999,9333333333325
Test_3_2|7365000|15000|0|1000|491|500|3|FixedMutingFbe|3999,9000000000001
Test_3_3|7365000|15000|0|1000|491|1000|3|FixedMutingFbe|3999,8666666666668
Test_3_4|7365000|15000|0|1000|491|1500|3|FixedMutingFbe|3999,833333333333
Test_3_5|7365000|15000|0|1000|491|2000|3|FixedMutingFbe|3999,8000000000002
Test_3_6|7365000|15000|0|1000|491|2500|3|FixedMutingFbe|3999,7666666666664
Test_3_7|7364509|14999|0|1000|491|3000|3|FixedMutingFbe|4000
Test_3_8|7364509|14999|0|1000|491|3500|3|FixedMutingFbe|3999,9666644442964
Test_4_1|3682500|7500|0|1000|491|0|4|FixedMutingFbe|7999,8666666666677
Test_4_2|3682500|7500|0|1000|491|500|4|FixedMutingFbe|7999,8000000000002
Test_4_3|3682500|7500|0|1000|491|1000|4|FixedMutingFbe|7999,7333333333336
Test_4_4|3682500|7500|0|1000|491|1500|4|FixedMutingFbe|7999,666666666667
Test_4_5|3682500|7500|0|1000|491|2000|4|FixedMutingFbe|7999,6000000000004
Test_4_6|3682500|7500|0|1000|491|2500|4|FixedMutingFbe|7999,5333333333338
Test_4_7|3682500|7500|0|1000|491|3000|4|FixedMutingFbe|7999,4666666666662
Test_4_8|3682500|7500|0|1000|491|3500|4|FixedMutingFbe|7999,3999999999996
Test_4_9|3682500|7500|0|1000|491|4000|4|FixedMutingFbe|7999,3333333333339
Test_4_10|3682500|7500|0|1000|491|4500|4|FixedMutingFbe|7999,2666666666673
Test_4_11|3682500|7500|0|1000|491|5000|4|FixedMutingFbe|7999,1999999999998
Test_4_12|3682500|7500|0|1000|491|5500|4|FixedMutingFbe|7999,1333333333332
Test_4_13|3682500|7500|0|1000|491|6000|4|FixedMutingFbe|7999,0666666666666
Test_4_14|3682500|7500|0|1000|491|6500|4|FixedMutingFbe|7999
Test_4_15|3682009|7499|0|1000|491|7000|4|FixedMutingFbe|8000
Test_4_16|3682009|7499|0|1000|491|7500|4|FixedMutingFbe|7999,9333244432592
Test_5_1|1841250|3750|0|1000|491|0|5|FixedMutingFbe|15999,733333333335
Test_5_2|1841250|3750|0|1000|491|500|5|FixedMutingFbe|15999,6
Test_5_3|1841250|3750|0|1000|491|1000|5|FixedMutingFbe|15999,466666666667
Test_5_4|1841250|3750|0|1000|491|1500|5|FixedMutingFbe|15999,333333333334
Test_5_5|1841250|3750|0|1000|491|2000|5|FixedMutingFbe|15999,200000000001
Test_5_6|1841250|3750|0|1000|491|2500|5|FixedMutingFbe|15999,066666666668
Test_5_7|1841250|3750|0|1000|491|3000|5|FixedMutingFbe|15998,933333333332
Test_5_8|1841250|3750|0|1000|491|3500|5|FixedMutingFbe|15998,799999999999
Test_5_9|1841250|3750|0|1000|491|4000|5|FixedMutingFbe|15998,666666666668
Test_5_10|1841250|3750|0|1000|491|4500|5|FixedMutingFbe|15998,533333333335
Test_5_11|1841250|3750|0|1000|491|5000|5|FixedMutingFbe|15998,4
Test_5_12|1841250|3750|0|1000|491|5500|5|FixedMutingFbe|15998,266666666666
Test_5_13|1841250|3750|0|1000|491|6000|5|FixedMutingFbe|15998,133333333333
Test_5_14|1841250|3750|0|1000|491|6500|5|FixedMutingFbe|15998
Test_5_15|1841250|3750|0|1000|491|7000|5|FixedMutingFbe|15997,866666666667
Test_5_16|1841250|3750|0|1000|491|7500|5|FixedMutingFbe|15997,733333333335
Test_5_17|1841250|3750|0|1000|491|8000|5|FixedMutingFbe|15997,6
Test_5_18|1841250|3750|0|1000|491|8500|5|FixedMutingFbe|15997,466666666667
Test_5_19|1841250|3750|0|1000|491|9000|5|FixedMutingFbe|15997,333333333334
Test_5_20|1841250|3750|0|1000|491|9500|5|FixedMutingFbe|15997,200000000001
Test_5_21|1841250|3750|0|1000|491|10000|5|FixedMutingFbe|15997,066666666668
Test_5_22|1841250|3750|0|1000|491|10500|5|FixedMutingFbe|15996,933333333332
Test_5_23|1841250|3750|0|1000|491|11000|5|FixedMutingFbe|15996,799999999999
Test_5_24|1841250|3750|0|1000|491|11500|5|FixedMutingFbe|15996,666666666666
Test_5_25|1841250|3750|0|1000|491|12000|5|FixedMutingFbe|15996,533333333335
Test_5_26|1841250|3750|0|1000|491|12500|5|FixedMutingFbe|15996,4
Test_5_27|1841250|3750|0|1000|491|13000|5|FixedMutingFbe|15996,266666666666
Test_5_28|1841250|3750|0|1000|491|13500|5|FixedMutingFbe|15996,133333333333
Test_5_29|1841250|3750|0|1000|491|14000|5|FixedMutingFbe|15996
Test_5_30|1841250|3750|0|1000|491|14500|5|FixedMutingFbe|15995,866666666667
Test_5_31|1840759|3749|0|1000|491|15000|5|FixedMutingFbe|16000
Test_5_32|1840759|3749|0|1000|491|15500|5|FixedMutingFbe|15999,866631101628
Test_1_1|29459509|59999|0|1000|491|0|1|FixedMutingFbe|1000
Test_1_2|29459509|59999|0|1000|491|500|1|FixedMutingFbe|999,99166652777546
Test_2_1|14730000|30000|0|1000|491|0|2|FixedMutingFbe|1999,9666666666662
Test_2_2|14730000|30000|0|1000|491|500|2|FixedMutingFbe|1999,95
Test_2_3|14729509|29999|0|1000|491|1000|2|FixedMutingFbe|2000
Test_2_4|14729509|29999|0|1000|491|1500|2|FixedMutingFbe|1999,983332777759
Test_3_1|7365000|15000|0|1000|491|0|3|FixedMutingFbe|3999,9333333333325
Test_3_2|7365000|15000|0|1000|491|500|3|FixedMutingFbe|3999,9000000000001
Test_3_3|7365000|15000|0|1000|491|1000|3|FixedMutingFbe|3999,8666666666668
Test_3_4|7365000|15000|0|1000|491|1500|3|FixedMutingFbe|3999,833333333333
Test_3_5|7365000|15000|0|1000|491|2000|3|FixedMutingFbe|3999,8000000000002
Test_3_6|7365000|15000|0|1000|491|2500|3|FixedMutingFbe|3999,7666666666664
Test_3_7|7364509|14999|0|1000|491|3000|3|FixedMutingFbe|4000
Test_3_8|7364509|14999|0|1000|491|3500|3|FixedMutingFbe|3999,9666644442964
Test_4_1|3682500|7500|0|1000|491|0|4|FixedMutingFbe|7999,8666666666677
Test_4_2|3682500|7500|0|1000|491|500|4|FixedMutingFbe|7999,8000000000002
Test_4_3|3682500|7500|0|1000|491|1000|4|FixedMutingFbe|7999,7333333333336
Test_4_4|3682500|7500|0|1000|491|1500|4|FixedMutingFbe|7999,666666666667
Test_4_5|3682500|7500|0|1000|491|2000|4|FixedMutingFbe|7999,6000000000004
Test_4_6|3682500|7500|0|1000|491|2500|4|FixedMutingFbe|7999,5333333333338
Test_4_7|3682500|7500|0|1000|491|3000|4|FixedMutingFbe|7999,4666666666662
Test_4_8|3682500|7500|0|1000|491|3500|4|FixedMutingFbe|7999,3999999999996
Test_4_9|3682500|7500|0|1000|491|4000|4|FixedMutingFbe|7999,3333333333339
Test_4_10|3682500|7500|0|1000|491|4500|4|FixedMutingFbe|7999,2666666666673
Test_4_11|3682500|7500|0|1000|491|5000|4|FixedMutingFbe|7999,1999999999998
Test_4_12|3682500|7500|0|1000|491|5500|4|FixedMutingFbe|7999,1333333333332
Test_4_13|3682500|7500|0|1000|491|6000|4|FixedMutingFbe|7999,0666666666666
Test_4_14|3682500|7500|0|1000|491|6500|4|FixedMutingFbe|7999
Test_4_15|3682009|7499|0|1000|491|7000|4|FixedMutingFbe|8000
Test_4_16|3682009|7499|0|1000|491|7500|4|FixedMutingFbe|7999,9333244432592
Test_5_1|1841250|3750|0|1000|491|0|5|FixedMutingFbe|15999,733333333335
Test_5_2|1841250|3750|0|1000|491|500|5|FixedMutingFbe|15999,6
Test_5_3|1841250|3750|0|1000|491|1000|5|FixedMutingFbe|15999,466666666667
Test_5_4|1841250|3750|0|1000|491|1500|5|FixedMutingFbe|15999,333333333334
Test_5_5|1841250|3750|0|1000|491|2000|5|FixedMutingFbe|15999,200000000001
Test_5_6|1841250|3750|0|1000|491|2500|5|FixedMutingFbe|15999,066666666668
Test_5_7|1841250|3750|0|1000|491|3000|5|FixedMutingFbe|15998,933333333332
Test_5_8|1841250|3750|0|1000|491|3500|5|FixedMutingFbe|15998,799999999999
Test_5_9|1841250|3750|0|1000|491|4000|5|FixedMutingFbe|15998,666666666668
Test_5_10|1841250|3750|0|1000|491|4500|5|FixedMutingFbe|15998,533333333335
Test_5_11|1841250|3750|0|1000|491|5000|5|FixedMutingFbe|15998,4
Test_5_12|1841250|3750|0|1000|491|5500|5|FixedMutingFbe|15998,266666666666
Test_5_13|1841250|3750|0|1000|491|6000|5|FixedMutingFbe|15998,133333333333
Test_5_14|1841250|3750|0|1000|491|6500|5|FixedMutingFbe|15998
Test_5_15|1841250|3750|0|1000|491|7000|5|FixedMutingFbe|15997,866666666667
Test_5_16|1841250|3750|0|1000|491|7500|5|FixedMutingFbe|15997,733333333335
Test_5_17|1841250|3750|0|1000|491|8000|5|FixedMutingFbe|15997,6
Test_5_18|1841250|3750|0|1000|491|8500|5|FixedMutingFbe|15997,466666666667
Test_5_19|1841250|3750|0|1000|491|9000|5|FixedMutingFbe|15997,333333333334
