name|air_time|succ_transmissions|failed_transmissions|ffp|cot|offset|simulation_run|station_version|mean_channel_access_delay
Test_4_4|491|1|0|1000|491|1500|4|FixedMutingFbe|60000000
Test_4_5|491|1|14999|1000|491|2000|4|FixedMutingFbe|60000000
Test_4_6|491|1|0|1000|491|2500|4|FixedMutingFbe|60000000
Test_4_7|491|1|14998|1000|491|3000|4|FixedMutingFbe|60000000
Test_4_8|491|1|0|1000|491|3500|4|FixedMutingFbe|60000000
Test_4_9|0|0|14999|1000|491|4000|4|FixedMutingFbe|60000000
Test_4_10|0|0|0|1000|491|4500|4|FixedMutingFbe|60000000
Test_4_11|0|0|14999|1000|491|5000|4|FixedMutingFbe|60000000
Test_4_12|0|0|0|1000|491|5500|4|FixedMutingFbe|60000000
Test_4_13|0|0|14999|1000|491|6000|4|FixedMutingFbe|60000000
Test_4_14|0|0|0|1000|491|6500|4|FixedMutingFbe|60000000
Test_4_15|0|0|14998|1000|491|7000|4|FixedMutingFbe|60000000
Test_4_16|0|0|0|1000|491|7500|4|FixedMutingFbe|60000000
Test_5_1|491|1|14999|1000|491|0|5|FixedMutingFbe|60000000
Test_5_2|491|1|0|1000|491|500|5|FixedMutingFbe|60000000
Test_5_3|491|1|14999|1000|491|1000|5|FixedMutingFbe|60000000
Test_5_4|491|1|0|1000|491|1500|5|FixedMutingFbe|60000000
Test_5_5|491|1|14999|1000|491|2000|5|FixedMutingFbe|60000000
Test_5_6|491|1|0|1000|491|2500|5|FixedMutingFbe|60000000
Test_5_7|491|1|14998|1000|491|3000|5|FixedMutingFbe|60000000
Test_5_8|491|1|0|1000|491|3500|5|FixedMutingFbe|60000000
Test_5_9|0|0|14999|1000|491|4000|5|FixedMutingFbe|60000000
Test_5_10|0|0|0|1000|491|4500|5|FixedMutingFbe|60000000
Test_5_11|0|0|14999|1000|491|5000|5|FixedMutingFbe|60000000
Test_5_12|0|0|0|1000|491|5500|5|FixedMutingFbe|60000000
Test_5_13|0|0|14999|1000|491|6000|5|FixedMutingFbe|60000000
Test_5_14|0|0|0|1000|491|6500|5|FixedMutingFbe|60000000
Test_5_15|0|0|14998|1000|491|7000|5|FixedMutingFbe|60000000
Test_5_16|0|0|0|1000|491|7500|5|FixedMutingFbe|60000000
Test_5_17|0|0|14998|1000|491|8000|5|FixedMutingFbe|60000000
Test_5_18|0|0|0|1000|491|8500|5|FixedMutingFbe|60000000
Test_5_19|0|0|14998|1000|491|9000|5|FixedMutingFbe|60000000
Test_5_20|0|0|0|1000|491|9500|5|FixedMutingFbe|60000000
Test_5_21|0|0|14998|1000|491|10000|5|FixedMutingFbe|60000000
Test_5_22|0|0|0|1000|491|10500|5|FixedMutingFbe|60000000
Test_5_23|0|0|14997|1000|491|11000|5|FixedMutingFbe|60000000
Test_5_24|0|0|0|1000|491|11500|5|FixedMutingFbe|60000000
Test_5_25|0|0|14997|1000|491|12000|5|FixedMutingFbe|60000000
Test_5_26|0|0|0|1000|491|12500|5|FixedMutingFbe|60000000
Test_5_27|0|0|14997|1000|491|13000|5|FixedMutingFbe|60000000
Test_5_28|0|0|0|1000|491|13500|5|FixedMutingFbe|60000000
Test_5_29|0|0|14997|1000|491|14000|5|FixedMutingFbe|60000000
Test_5_30|0|0|0|1000|491|14500|5|FixedMutingFbe|60000000
Test_5_31|0|0|14996|1000|491|15000|5|FixedMutingFbe|60000000
Test_5_32|0|0|0|1000|491|15500|5|FixedMutingFbe|60000000
Test_1_1|7365000|15000|0|1000|491|0|1|FixedMutingFbe|3999,9333333333325
Test_1_2|7365000|15000|0|1000|491|500|1|FixedMutingFbe|3999,9000000000001
Test_2_1|7365000|15000|0|1000|491|0|2|FixedMutingFbe|3999,9333333333325
Test_2_2|7365000|15000|0|1000|491|500|2|FixedMutingFbe|3999,9000000000001
Test_2_3|7365000|15000|0|1000|491|1000|2|FixedMutingFbe|3999,8666666666668
Test_2_4|7365000|15000|0|1000|491|1500|2|FixedMutingFbe|3999,833333333333
Test_3_1|7365000|15000|0|1000|491|0|3|FixedMutingFbe|3999,9333333333325
Test_3_2|7365000|15000|0|1000|491|500|3|FixedMutingFbe|3999,9000000000001
Test_3_3|7365000|15000|0|1000|491|1000|3|FixedMutingFbe|3999,8666666666668
Test_3_4|7365000|15000|0|1000|491|1500|3|FixedMutingFbe|3999,833333333333
Test_3_5|7365000|15000|0|1000|491|2000|3|FixedMutingFbe|3999,8000000000002
Test_3_6|7365000|15000|0|1000|491|2500|3|FixedMutingFbe|3999,7666666666664
Test_3_7|7364509|14999|0|1000|491|3000|3|FixedMutingFbe|4000
Test_3_8|7364509|14999|0|1000|491|3500|3|FixedMutingFbe|3999,9666644442964
Test_4_1|491|1|14999|1000|491|0|4|FixedMutingFbe|60000000
Test_4_2|491|1|0|1000|491|500|4|FixedMutingFbe|60000000
Test_4_3|491|1|14999|1000|491|1000|4|FixedMutingFbe|60000000
Test_4_4|491|1|0|1000|491|1500|4|FixedMutingFbe|60000000
Test_4_5|491|1|14999|1000|491|2000|4|FixedMutingFbe|60000000
Test_4_6|491|1|0|1000|491|2500|4|FixedMutingFbe|60000000
Test_4_7|491|1|14998|1000|491|3000|4|FixedMutingFbe|60000000
Test_4_8|491|1|0|1000|491|3500|4|FixedMutingFbe|60000000
Test_4_9|0|0|14999|1000|491|4000|4|FixedMutingFbe|60000000
Test_4_10|0|0|0|1000|491|4500|4|FixedMutingFbe|60000000
Test_4_11|0|0|14999|1000|491|5000|4|FixedMutingFbe|60000000
Test_4_12|0|0|0|1000|491|5500|4|FixedMutingFbe|60000000
Test_4_13|0|0|14999|1000|491|6000|4|FixedMutingFbe|60000000
Test_4_14|0|0|0|1000|491|6500|4|FixedMutingFbe|60000000
Test_4_15|0|0|14998|1000|491|7000|4|FixedMutingFbe|60000000
Test_4_16|0|0|0|1000|491|7500|4|FixedMutingFbe|60000000
Test_5_1|491|1|14999|1000|491|0|5|FixedMutingFbe|60000000
Test_5_2|491|1|0|1000|491|500|5|FixedMutingFbe|60000000
Test_5_3|491|1|14999|1000|491|1000|5|FixedMutingFbe|60000000
Test_5_4|491|1|0|1000|491|1500|5|FixedMutingFbe|60000000
Test_5_5|491|1|14999|1000|491|2000|5|FixedMutingFbe|60000000
Test_5_6|491|1|0|1000|491|2500|5|FixedMutingFbe|60000000
Test_5_7|491|1|14998|1000|491|3000|5|FixedMutingFbe|60000000
Test_5_8|491|1|0|1000|491|3500|5|FixedMutingFbe|60000000
Test_5_9|0|0|14999|1000|491|4000|5|FixedMutingFbe|60000000
Test_5_10|0|0|0|1000|491|4500|5|FixedMutingFbe|60000000
Test_5_11|0|0|14999|1000|491|5000|5|FixedMutingFbe|60000000
Test_5_12|0|0|0|1000|491|5500|5|FixedMutingFbe|60000000
Test_5_13|0|0|14999|1000|491|6000|5|FixedMutingFbe|60000000
Test_5_14|0|0|0|1000|491|6500|5|FixedMutingFbe|60000000
Test_5_15|0|0|14998|1000|491|7000|5|FixedMutingFbe|60000000
Test_5_16|0|0|0|1000|491|7500|5|FixedMutingFbe|60000000
Test_5_17|0|0|14998|1000|491|8000|5|FixedMutingFbe|60000000
Test_5_18|0|0|0|1000|491|8500|5|FixedMutingFbe|60000000
Test_5_19|0|0|14998|1000|491|9000|5|FixedMutingFbe|60000000
Test_5_20|0|0|0|1000|491|9500|5|FixedMutingFbe|60000000
Test_5_21|0|0|14998|1000|491|10000|5|FixedMutingFbe|60000000
Test_5_22|0|0|0|1000|491|10500|5|FixedMutingFbe|60000000
Test_5_23|0|0|14997|1000|491|11000|5|FixedMutingFbe|60000000
Test_5_24|0|0|0|1000|491|11500|5|FixedMutingFbe|60000000
Test_5_25|0|0|14997|1000|491|12000|5|FixedMutingFbe|60000000
Test_5_26|0|0|0|1000|491|12500|5|FixedMutingFbe|60000000
Test_5_27|0|0|14997|1000|491|13000|5|FixedMutingFbe|60000000
Test_5_28|0|0|0|1000|491|13500|5|FixedMutingFbe|60000000
Test_5_29|0|0|14997|1000|491|14000|5|FixedMutingFbe|60000000
Test_5_30|0|0|0|1000|491|14500|5|FixedMutingFbe|60000000
Test_5_31|0|0|14996|1000|491|15000|5|FixedMutingFbe|60000000
Test_5_32|0|0|0|1000|491|15500|5|FixedMutingFbe|60000000
Test_1_1|7365000|15000|0|1000|491|0|1|FixedMutingFbe|3999,9333333333325
Test_1_2|7365000|15000|0|1000|491|500|1|FixedMutingFbe|3999,9000000000001
Test_2_1|7365000|15000|0|1000|491|0|2|FixedMutingFbe|3999,9333333333325
Test_2_2|7365000|15000|0|1000|491|500|2|FixedMutingFbe|3999,9000000000001
Test_2_3|7365000|15000|0|1000|491|1000|2|FixedMutingFbe|3999,8666666666668
Test_2_4|7365000|15000|0|1000|491|1500|2|FixedMutingFbe|3999,833333333333
Test_3_1|7365000|15000|0|1000|491|0|3|FixedMutingFbe|3999,9333333333325
Test_3_2|7365000|15000|0|1000|491|500|3|FixedMutingFbe|3999,9000000000001
Test_3_3|7365000|15000|0|1000|491|1000|3|FixedMutingFbe|3999,8666666666668
Test_3_4|7365000|15000|0|1000|491|1500|3|FixedMutingFbe|3999,833333333333
Test_3_5|7365000|15000|0|1000|491|2000|3|FixedMutingFbe|3999,8000000000002
Test_3_6|7365000|15000|0|1000|491|2500|3|FixedMutingFbe|3999,7666666666664
Test_3_7|7364509|14999|0|1000|491|3000|3|FixedMutingFbe|4000
Test_3_8|7364509|14999|0|1000|491|3500|3|FixedMutingFbe|3999,9666644442964
Test_4_1|491|1|14999|1000|491|0|4|FixedMutingFbe|60000000
Test_4_2|491|1|0|1000|491|500|4|FixedMutingFbe|60000000
Test_4_3|491|1|14999|1000|491|1000|4|FixedMutingFbe|60000000
Test_4_4|491|1|0|1000|491|1500|4|FixedMutingFbe|60000000
Test_4_5|491|1|14999|1000|491|2000|4|FixedMutingFbe|60000000
Test_4_6|491|1|0|1000|491|2500|4|FixedMutingFbe|60000000
Test_4_7|491|1|14998|1000|491|3000|4|FixedMutingFbe|60000000
Test_4_8|491|1|0|1000|491|3500|4|FixedMutingFbe|60000000
Test_4_9|0|0|14999|1000|491|4000|4|FixedMutingFbe|60000000
Test_4_10|0|0|0|1000|491|4500|4|FixedMutingFbe|60000000
Test_4_11|0|0|14999|1000|491|5000|4|FixedMutingFbe|60000000
Test_4_12|0|0|0|1000|491|5500|4|FixedMutingFbe|60000000
Test_4_13|0|0|14999|1000|491|6000|4|FixedMutingFbe|60000000
Test_4_14|0|0|0|1000|491|6500|4|FixedMutingFbe|60000000
Test_4_15|0|0|14998|1000|491|7000|4|FixedMutingFbe|60000000
Test_4_16|0|0|0|1000|491|7500|4|FixedMutingFbe|60000000
Test_5_1|491|1|14999|1000|491|0|5|FixedMutingFbe|60000000
Test_5_2|491|1|0|1000|491|500|5|FixedMutingFbe|60000000
Test_5_3|491|1|14999|1000|491|1000|5|FixedMutingFbe|60000000
Test_5_4|491|1|0|1000|491|1500|5|FixedMutingFbe|60000000
Test_5_5|491|1|14999|1000|491|2000|5|FixedMutingFbe|60000000
Test_5_6|491|1|0|1000|491|2500|5|FixedMutingFbe|60000000
Test_5_7|491|1|14998|1000|491|3000|5|FixedMutingFbe|60000000
Test_5_8|491|1|0|1000|491|3500|5|FixedMutingFbe|60000000
Test_5_9|0|0|14999|1000|491|4000|5|FixedMutingFbe|60000000
Test_5_10|0|0|0|1000|491|4500|5|FixedMutingFbe|60000000
Test_5_11|0|0|14999|1000|491|5000|5|FixedMutingFbe|60000000
Test_5_12|0|0|0|1000|491|5500|5|FixedMutingFbe|60000000
Test_5_13|0|0|14999|1000|491|6000|5|FixedMutingFbe|60000000
Test_5_14|0|0|0|1000|491|6500|5|FixedMutingFbe|60000000
Test_5_15|0|0|14998|1000|491|7000|5|FixedMutingFbe|60000000
Test_5_16|0|0|0|1000|491|7500|5|FixedMutingFbe|60000000
Test_5_17|0|0|14998|1000|491|8000|5|FixedMutingFbe|60000000
Test_5_18|0|0|0|1000|491|8500|5|FixedMutingFbe|60000000
Test_5_19|0|0|14998|1000|491|9000|5|FixedMutingFbe|60000000
Test_5_20|0|0|0|1000|491|9500|5|FixedMutingFbe|60000000
Test_5_21|0|0|14998|1000|491|10000|5|FixedMutingFbe|60000000
Test_5_22|0|0|0|1000|491|10500|5|FixedMutingFbe|60000000
Test_5_23|0|0|14997|1000|491|11000|5|FixedMutingFbe|60000000
Test_5_24|0|0|0|1000|491|11500|5|FixedMutingFbe|60000000
Test_5_25|0|0|14997|1000|491|12000|5|FixedMutingFbe|60000000
Test_5_26|0|0|0|1000|491|12500|5|FixedMutingFbe|60000000
Test_5_27|0|0|14997|1000|491|13000|5|FixedMutingFbe|60000000
Test_5_28|0|0|0|1000|491|13500|5|FixedMutingFbe|60000000
Test_5_29|0|0|14997|1000|491|14000|5|FixedMutingFbe|60000000
Test_5_30|0|0|0|1000|491|14500|5|FixedMutingFbe|60000000
Test_5_31|0|0|14996|1000|491|15000|5|FixedMutingFbe|60000000
Test_5_32|0|0|0|1000|491|15500|5|FixedMutingFbe|60000000
Test_1_1|7365000|15000|0|1000|491|0|1|FixedMutingFbe|3999,9333333333325
Test_1_2|7365000|15000|0|1000|491|500|1|FixedMutingFbe|3999,9000000000001
Test_2_1|7365000|15000|0|1000|491|0|2|FixedMutingFbe|3999,9333333333325
Test_2_2|7365000|15000|0|1000|491|500|2|FixedMutingFbe|3999,9000000000001
Test_2_3|7365000|15000|0|1000|491|1000|2|FixedMutingFbe|3999,8666666666668
Test_2_4|7365000|15000|0|1000|491|1500|2|FixedMutingFbe|3999,833333333333
Test_3_1|7365000|15000|0|1000|491|0|3|FixedMutingFbe|3999,9333333333325
Test_3_2|7365000|15000|0|1000|491|500|3|FixedMutingFbe|3999,9000000000001
Test_3_3|7365000|15000|0|1000|491|1000|3|FixedMutingFbe|3999,8666666666668
Test_3_4|7365000|15000|0|1000|491|1500|3|FixedMutingFbe|3999,833333333333
Test_3_5|7365000|15000|0|1000|491|2000|3|FixedMutingFbe|3999,8000000000002
Test_3_6|7365000|15000|0|1000|491|2500|3|FixedMutingFbe|3999,7666666666664
Test_3_7|7364509|14999|0|1000|491|3000|3|FixedMutingFbe|4000
Test_3_8|7364509|14999|0|1000|491|3500|3|FixedMutingFbe|3999,9666644442964
Test_4_1|491|1|14999|1000|491|0|4|FixedMutingFbe|60000000
Test_4_2|491|1|0|1000|491|500|4|FixedMutingFbe|60000000
Test_4_3|491|1|14999|1000|491|1000|4|FixedMutingFbe|60000000
Test_4_4|491|1|0|1000|491|1500|4|FixedMutingFbe|60000000
Test_4_5|491|1|14999|1000|491|2000|4|FixedMutingFbe|60000000
Test_4_6|491|1|0|1000|491|2500|4|FixedMutingFbe|60000000
Test_4_7|491|1|14998|1000|491|3000|4|FixedMutingFbe|60000000
Test_4_8|491|1|0|1000|491|3500|4|FixedMutingFbe|60000000
Test_4_9|0|0|14999|1000|491|4000|4|FixedMutingFbe|60000000
Test_4_10|0|0|0|1000|491|4500|4|FixedMutingFbe|60000000
Test_4_11|0|0|14999|1000|491|5000|4|FixedMutingFbe|60000000
Test_4_12|0|0|0|1000|491|5500|4|FixedMutingFbe|60000000
Test_4_13|0|0|14999|1000|491|6000|4|FixedMutingFbe|60000000
Test_4_14|0|0|0|1000|491|6500|4|FixedMutingFbe|60000000
Test_4_15|0|0|14998|1000|491|7000|4|FixedMutingFbe|60000000
Test_4_16|0|0|0|1000|491|7500|4|FixedMutingFbe|60000000
Test_5_1|491|1|14999|1000|491|0|5|FixedMutingFbe|60000000
Test_5_2|491|1|0|1000|491|500|5|FixedMutingFbe|60000000
Test_5_3|491|1|14999|1000|491|1000|5|FixedMutingFbe|60000000
Test_5_4|491|1|0|1000|491|1500|5|FixedMutingFbe|60000000
Test_5_5|491|1|14999|1000|491|2000|5|FixedMutingFbe|60000000
Test_5_6|491|1|0|1000|491|2500|5|FixedMutingFbe|60000000
Test_5_7|491|1|14998|1000|491|3000|5|FixedMutingFbe|60000000
Test_5_8|491|1|0|1000|491|3500|5|FixedMutingFbe|60000000
Test_5_9|0|0|14999|1000|491|4000|5|FixedMutingFbe|60000000
Test_5_10|0|0|0|1000|491|4500|5|FixedMutingFbe|60000000
Test_5_11|0|0|14999|1000|491|5000|5|FixedMutingFbe|60000000
Test_5_12|0|0|0|1000|491|5500|5|FixedMutingFbe|60000000
Test_5_13|0|0|14999|1000|491|6000|5|FixedMutingFbe|60000000
Test_5_14|0|0|0|1000|491|6500|5|FixedMutingFbe|60000000
Test_5_15|0|0|14998|1000|491|7000|5|FixedMutingFbe|60000000
Test_5_16|0|0|0|1000|491|7500|5|FixedMutingFbe|60000000
Test_5_17|0|0|14998|1000|491|8000|5|FixedMutingFbe|60000000
Test_5_18|0|0|0|1000|491|8500|5|FixedMutingFbe|60000000
Test_5_19|0|0|14998|1000|491|9000|5|FixedMutingFbe|60000000
Test_5_20|0|0|0|1000|491|9500|5|FixedMutingFbe|60000000
Test_5_21|0|0|14998|1000|491|10000|5|FixedMutingFbe|60000000
Test_5_22|0|0|0|1000|491|10500|5|FixedMutingFbe|60000000
Test_5_23|0|0|14997|1000|491|11000|5|FixedMutingFbe|60000000
Test_5_24|0|0|0|1000|491|11500|5|FixedMutingFbe|60000000
Test_5_25|0|0|14997|1000|491|12000|5|FixedMutingFbe|60000000
Test_5_26|0|0|0|1000|491|12500|5|FixedMutingFbe|60000000
Test_5_27|0|0|14997|1000|491|13000|5|FixedMutingFbe|60000000
Test_5_28|0|0|0|1000|491|13500|5|FixedMutingFbe|60000000
Test_5_29|0|0|14997|1000|491|14000|5|FixedMutingFbe|60000000
Test_5_30|0|0|0|1000|491|14500|5|FixedMutingFbe|60000000
Test_5_31|0|0|14996|1000|491|15000|5|FixedMutingFbe|60000000
Test_5_32|0|0|0|1000|491|15500|5|FixedMutingFbe|60000000
Test_1_1|7365000|15000|0|1000|491|0|1|FixedMutingFbe|3999,9333333333325
Test_1_2|7365000|15000|0|1000|491|500|1|FixedMutingFbe|3999,9000000000001
Test_2_1|7365000|15000|0|1000|491|0|2|FixedMutingFbe|3999,9333333333325
Test_2_2|7365000|15000|0|1000|491|500|2|FixedMutingFbe|3999,9000000000001
Test_2_3|7365000|15000|0|1000|491|1000|2|FixedMutingFbe|3999,8666666666668
Test_2_4|7365000|15000|0|1000|491|1500|2|FixedMutingFbe|3999,833333333333
Test_3_1|7365000|15000|0|1000|491|0|3|FixedMutingFbe|3999,9333333333325
Test_3_2|7365000|15000|0|1000|491|500|3|FixedMutingFbe|3999,9000000000001
Test_3_3|7365000|15000|0|1000|491|1000|3|FixedMutingFbe|3999,8666666666668
Test_3_4|7365000|15000|0|1000|491|1500|3|FixedMutingFbe|3999,833333333333
Test_3_5|7365000|15000|0|1000|491|2000|3|FixedMutingFbe|3999,8000000000002
Test_3_6|7365000|15000|0|1000|491|2500|3|FixedMutingFbe|3999,7666666666664
Test_3_7|7364509|14999|0|1000|491|3000|3|FixedMutingFbe|4000
Test_3_8|7364509|14999|0|1000|491|3500|3|FixedMutingFbe|3999,9666644442964
Test_4_1|491|1|14999|1000|491|0|4|FixedMutingFbe|60000000
Test_4_2|491|1|0|1000|491|500|4|FixedMutingFbe|60000000
Test_4_3|491|1|14999|1000|491|1000|4|FixedMutingFbe|60000000
Test_4_4|491|1|0|1000|491|1500|4|FixedMutingFbe|60000000
Test_4_5|491|1|14999|1000|491|2000|4|FixedMutingFbe|60000000
Test_4_6|491|1|0|1000|491|2500|4|FixedMutingFbe|60000000
Test_4_7|491|1|14998|1000|491|3000|4|FixedMutingFbe|60000000
Test_4_8|491|1|0|1000|491|3500|4|FixedMutingFbe|60000000
Test_4_9|0|0|14999|1000|491|4000|4|FixedMutingFbe|60000000
Test_4_10|0|0|0|1000|491|4500|4|FixedMutingFbe|60000000
Test_4_11|0|0|14999|1000|491|5000|4|FixedMutingFbe|60000000
Test_4_12|0|0|0|1000|491|5500|4|FixedMutingFbe|60000000
Test_4_13|0|0|14999|1000|491|6000|4|FixedMutingFbe|60000000
Test_4_14|0|0|0|1000|491|6500|4|FixedMutingFbe|60000000
Test_4_15|0|0|14998|1000|491|7000|4|FixedMutingFbe|60000000
Test_4_16|0|0|0|1000|491|7500|4|FixedMutingFbe|60000000
Test_5_1|491|1|14999|1000|491|0|5|FixedMutingFbe|60000000
Test_5_2|491|1|0|1000|491|500|5|FixedMutingFbe|60000000
Test_5_3|491|1|14999|1000|491|1000|5|FixedMutingFbe|60000000
Test_5_4|491|1|0|1000|491|1500|5|FixedMutingFbe|60000000
Test_5_5|491|1|14999|1000|491|2000|5|FixedMutingFbe|60000000
Test_5_6|491|1|0|1000|491|2500|5|FixedMutingFbe|60000000
Test_5_7|491|1|14998|1000|491|3000|5|FixedMutingFbe|60000000
Test_5_8|491|1|0|1000|491|3500|5|FixedMutingFbe|60000000
Test_5_9|0|0|14999|1000|491|4000|5|FixedMutingFbe|60000000
Test_5_10|0|0|0|1000|491|4500|5|FixedMutingFbe|60000000
Test_5_11|0|0|14999|1000|491|5000|5|FixedMutingFbe|60000000
Test_5_12|0|0|0|1000|491|5500|5|FixedMutingFbe|60000000
Test_5_13|0|0|14999|1000|491|6000|5|FixedMutingFbe|60000000
Test_5_14|0|0|0|1000|491|6500|5|FixedMutingFbe|60000000
Test_5_15|0|0|14998|1000|491|7000|5|FixedMutingFbe|60000000
Test_5_16|0|0|0|1000|491|7500|5|FixedMutingFbe|60000000
